"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"日本食品標準成分表2015年版（七訂）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","更新日：2017年12月27日"
"本表","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03 砂糖及び甘味類","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"食品群","食品番号","索引番号","食品名","廃 棄 率","","","一般成分","一般成分","一般成分","一般成分","一般成分","","","","","一般成分","一般成分","","","","一般成分","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","無機質","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","ビタミン","","","","","","","","","","","","備考"
"","","","","","エネルギー（kcal）","エネルギー（kJ)","水   分","たんぱく質","アミノ酸組成によるたんぱく質","脂   質","トリアシルグリセロール当量","飽和脂肪酸","一価不飽和脂肪酸","多価不飽和脂肪酸","コレステロール","炭水化物","利用可能炭水化物（単糖当量）","水溶性食物繊維","不溶性食物繊維","食物繊維総量","灰   分","ナトリウム","カリウム","カルシウム","マグネシウム","リン","鉄","亜鉛","銅","マンガン","ヨウ素","セレン","クロム","モリブデン","レチノール","α-カロテン","β-カロテン","β-クリプトキサンチン","β-カロテン当量","レチノール活性当量","ビタミンD","α-トコフェロール","β-トコフェロール","γ-トコフェロール","δ-トコフェロール","ビタミンK","ビタミンB1","ビタミンB2","ナイアシン","ビタミンB6","ビタミンB12","葉酸","パントテン酸","ビオチン","ビタミンC","食塩相当量","アルコール","硝酸イオン","テオブロミン","カフェイン","タンニン","ポリフェノール","酢酸","調理油","有機酸","重量変化率",""
"","","","Tagnames","REFUSE","ENERC_
KCAL","ENERC","WATER","－","PROTCAA","－","FATNLEA","FASAT","FAMS","FAPU","CHOLE","－","CHOAVLM","FIBSOL","FIBINS"," FIBTG","ASH","NA","K","CA","MG","P","FE","ZN","CU","MN","ID","SE","CR","MO","RETOL","CARTA ","CARTB ","CRYPXB","CARTBEQ","VITA_RAE","VITD","TOCPHA","TOCPHB ","TOCPHG","TOCPHD","VITK","THIAHCL ","RIBF","NIA","VITB6A","VITB12","FOL","PANTAC","BIOT","VITC","NACL_EQ","ALC","NITRA ","THEBRN","CAFFN ","TAN","POLYPHENT","ACEAC","－","OA","－",""
"","","","単位","%","kcal/100 g","kJ/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","mg/100 ｇ","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","µg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","µg/100 g","mg/100 g","mg/100 g","mg/100 g","mg/100 g","µg/100 g","µg/100 g","mg/100 g","µg/100 g","mg/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","g/100 g","%",""
"03","03001","224","（砂糖類）　黒砂糖　　　","0","354","1481","5.0","1.7","-","Tr","-","-","-","-","(0)","89.7","92.7","(0)","(0)","(0)","3.6","27","1100","240","31","31","4.7","0.5","0.24","-","15","4","13","9","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0.05","0.07","0.8","0.72","(0)","10","1.38","33.6","(0)","0.1","-","-","-","-","-","-","-","-","-","-","　 "
"03","03002","225","（砂糖類）　和三盆糖　　　","0","383","1602","0.5","0.2","-","Tr","-","-","-","-","(0)","98.8","(105.2)","(0)","(0)","(0)","0.5","1","140","27","17","13","0.7","0.2","0.07","0.30","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0.01","0.03","Tr","0.08","(0)","2","0.37","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03003","226","（砂糖類）　車糖　上白糖　　","0","384","1607","0.8","(0)","-","(0)","-","-","-","-","(0)","99.2","103.6","(0)","(0)","(0)","0","1","2","1","Tr","Tr","Tr","0","0.01","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03004","227","（砂糖類）　車糖　三温糖　　","0","382","1598","1.2","Tr","-","(0)","-","-","-","-","(0)","98.7","104.8","(0)","(0)","(0)","0.1","7","13","6","2","Tr","0.1","Tr","0.07","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","Tr","0.01","Tr","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03005","228","（砂糖類）　ざらめ糖　グラニュー糖　　","0","387","1619","Tr","(0)","-","(0)","-","-","-","-","(0)","100.0","104.9","(0)","(0)","(0)","0","Tr","Tr","Tr","0","(0)","Tr","Tr","0","-","0","0","0","0","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0.1","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03006","229","（砂糖類）　ざらめ糖　白ざら糖　　","0","387","1619","Tr","(0)","-","(0)","-","-","-","-","(0)","100.0","(105.0)","(0)","(0)","(0)","0","Tr","Tr","0","0","(0)","Tr","0","0","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","別名： 上ざら糖　 "
"03","03007","230","（砂糖類）　ざらめ糖　中ざら糖　　","0","387","1619","Tr","(0)","-","(0)","-","-","-","-","(0)","100.0","(105.0)","(0)","(0)","(0)","0","2","1","Tr","Tr","Tr","0.1","Tr","0.02","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","別名： 黄ざら糖　 "
"03","03008","231","（砂糖類）　加工糖　角砂糖　　","0","387","1619","Tr","(0)","-","(0)","-","-","-","-","(0)","100.0","(105.0)","(0)","(0)","(0)","0","Tr","Tr","Tr","0","(0)","0.1","0","0.01","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03009","232","（砂糖類）　加工糖　氷砂糖　　","0","387","1619","Tr","(0)","-","(0)","-","-","-","-","(0)","100.0","(105.0)","(0)","(0)","(0)","0","Tr","Tr","Tr","Tr","(0)","0.1","Tr","0","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","別名： 氷糖　 "
"03","03010","233","（砂糖類）　加工糖　コーヒーシュガー　　","0","387","1619","Tr","0.1","-","(0)","-","-","-","-","(0)","99.9","104.9","(0)","(0)","(0)","0","2","Tr","1","Tr","Tr","0.2","1.2","0.01","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03011","234","（砂糖類）　加工糖　粉糖　　","0","386","1615","0.3","(0)","-","(0)","-","-","-","-","(0)","99.7","(104.7)","(0)","(0)","(0)","0","1","1","Tr","Tr","0","0.2","0","0","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","別名： 粉砂糖
か（顆）粒糖を含む　 "
"03","03012","235","（砂糖類）　液糖　しょ糖型液糖　　","0","271","1134","30.0","(0)","-","(0)","-","-","-","-","(0)","70.0","-","(0)","(0)","(0)","0","Tr","Tr","Tr","Tr","0","Tr","0","0.01","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","しょ糖： 67.7 g　 "
"03","03013","236","（砂糖類）　液糖　転化型液糖　　","0","307","1284","20.7","(0)","-","(0)","-","-","-","-","(0)","79.3","-","(0)","(0)","(0)","0","4","Tr","Tr","Tr","Tr","Tr","0","Tr","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","しょ糖： 37.0 g　 "
"03","03014","237","（砂糖類）　氷糖みつ　　　","0","265","1109","31.5","0.2","-","(0)","-","-","-","-","(0)","68.2","-","(0)","(0)","(0)","0.1","10","Tr","Tr","Tr","Tr","0.7","0.1","0","-","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0.01","0.02","0.1","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","しょ糖： 63.3 g　 "
"03","03015","238","（でん粉糖類）　粉あめ　　　","0","381","1594","3.0","(0)","-","(0)","-","-","-","-","(0)","97.0","-","(0)","(0)","(0)","0","Tr","Tr","Tr","0","1","0.1","0","Tr","0","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03024","239","（でん粉糖類）　水あめ　酵素糖化　　","0","328","1372","15.0","(0)","-","(0)","-","-","-","-","(0)","85.0","91.3","(0)","(0)","(0)","Tr","Tr","0","Tr","0","1","0.1","0","Tr","0.01","0","0","0","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03025","240","（でん粉糖類）　水あめ　酸糖化　　","0","328","1372","15.0","(0)","-","(0)","-","-","-","-","(0)","85.0","91.0","(0)","(0)","(0)","Tr","Tr","0","Tr","0","1","0.1","0","Tr","0.01","0","0","0","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03017","241","（でん粉糖類）　ぶどう糖　全糖　　","0","335","1402","9.0","(0)","-","(0)","-","-","-","-","(0)","91.0","(91.3)","(0)","(0)","(0)","0","Tr","Tr","Tr","0","1","0.1","0","Tr","0","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03018","242","（でん粉糖類）　ぶどう糖　含水結晶　　","0","336","1406","8.7","(0)","-","(0)","-","-","-","-","(0)","91.3","(91.3)","(0)","(0)","(0)","0","Tr","Tr","Tr","0","Tr","0.1","Tr","0.01","0","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03019","243","（でん粉糖類）　ぶどう糖　無水結晶　　","0","367","1536","0.3","(0)","-","(0)","-","-","-","-","(0)","99.7","(99.7)","(0)","(0)","(0)","0","Tr","Tr","Tr","0","Tr","0.1","0","Tr","0","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03020","244","（でん粉糖類）　果糖　　　","0","368","1540","0.1","(0)","-","(0)","-","-","-","-","(0)","99.9","(99.9)","(0)","(0)","(0)","0","Tr","Tr","Tr","Tr","0","Tr","0","Tr","0","-","-","-","-","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","-","(0)","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03026","245","（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　","0","276","1154","25.0","0","-","0","-","-","-","-","(0)","75.0","75.5","(0)","(0)","(0)","Tr","Tr","Tr","Tr","0","1","0.1","0","Tr","0","0","0","0","0","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0","0","0","(0)","(0)","(0)","(0)","0","0","0","-","-","-","-","-","-","-","-","-","-","果糖含有率 50 %未満のもの　 "
"03","03027","246","（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　","0","276","1154","25.0","0","-","0","-","-","-","-","(0)","75.0","75.5","(0)","(0)","(0)","Tr","Tr","Tr","Tr","0","1","0.1","0","Tr","0","0","0","0","0","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0","0","0","(0)","(0)","(0)","(0)","0","0","0","-","-","-","-","-","-","-","-","-","-","果糖含有率 50 %以上 90 %未満のもの　 "
"03","03028","247","（でん粉糖類）　異性化液糖　高果糖液糖　　","0","276","1154","25.0","0","-","0","-","-","-","-","(0)","75.0","75.3","(0)","(0)","(0)","Tr","Tr","Tr","Tr","0","1","0.1","0","Tr","0","0","0","0","0","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","0","0","0","(0)","(0)","(0)","(0)","0","0","0","-","-","-","-","-","-","-","-","-","-","果糖含有率 90 %以上のもの　 "
"03","03029","248","（その他）　黒蜜　","0","199","834","46.5","1.0","-","0","-","-","-","-","0","50.5","(52.2)","0","0","0","2.0","15","620","140","17","17","2.6","0.3","0.14","-","8","2","7","5","0","-","-","-","0","0","0","0","0","0","0","0","0.03","0.04","0.5","0.41","0","6","0.78","18.9","0","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03022","249","（その他）　はちみつ　","0","294","1231","20.0","0.2","(0.1)","0","-","-","-","-","(0)","79.7","73.2","(0)","(0)","(0)","0.1","6","18","1","1","4","1.0","1.0","0.05","-","0","0","1","0","0","-","-","-","0","0","(0)","(0)","(0)","(0)","(0)","(0)","Tr","0.01","0.1","-","(0)","1","0.05","0.5","0","0","-","-","-","-","-","-","-","-","-","-","　 "
"03","03023","250","（その他）　メープルシロップ　　　","0","257","1075","33.0","0.1","-","0","-","-","-","-","(0)","66.3","(62.1)","(0)","(0)","(0)","0.6","1","230","75","18","1","0.4","1.5","0.01","2.01","4","0","5","2","(0)","-","-","-","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","Tr","0.02","Tr","Tr","(0)","1","0.13","0.1","(0)","0","-","-","-","-","-","-","-","-","-","-","別名： かえで糖　 "
